1,200,50,101,2,3,1,103
1,200,50,101,2,3,4,104
1,200,50,102,3,4,1,103
1,200,50,102,3,4,4,104
1,200,50,104,104,2,1,103
1,200,50,104,104,2,4,104
1,200,50,107,2,8,1,103
1,200,50,107,2,8,4,104
2,200,200,102,3,4,1,103
2,200,200,102,3,4,4,104
2,200,200,104,104,2,1,103
2,200,200,104,104,2,4,104
2,200,200,103,1,1,1,103
2,200,200,103,1,1,4,104
3,100,105,101,2,3,1,103
3,100,105,101,2,3,4,104
3,100,105,104,104,2,1,103
3,100,105,104,104,2,4,104
3,100,105,103,1,1,1,103
3,100,105,103,1,1,4,104
3,100,105,107,2,8,1,103
3,100,105,107,2,8,4,104
4,100,50,101,2,3,1,103
4,100,50,101,2,3,4,104
4,100,50,102,3,4,1,103
4,100,50,102,3,4,4,104
4,100,50,104,104,2,1,103
4,100,50,104,104,2,4,104
4,100,50,103,1,1,1,103
4,100,50,103,1,1,4,104
4,100,50,107,2,8,1,103
4,100,50,107,2,8,4,104
5,100,500,101,2,3,1,103
5,100,500,101,2,3,4,104
5,100,500,102,3,4,1,103
5,100,500,102,3,4,4,104
5,100,500,104,104,2,1,103
5,100,500,104,104,2,4,104
5,100,500,103,1,1,1,103
5,100,500,103,1,1,4,104
5,100,500,107,2,8,1,103
5,100,500,107,2,8,4,104
6,300,400,101,2,3,1,103
6,300,400,101,2,3,4,104
6,300,400,102,3,4,1,103
6,300,400,102,3,4,4,104
6,300,400,104,104,2,1,103
6,300,400,104,104,2,4,104
6,300,400,103,1,1,1,103
6,300,400,103,1,1,4,104
6,300,400,107,2,8,1,103
6,300,400,107,2,8,4,104
